x,y
1805.33,831.62
1811.49,1219.5
1814.63,2392.92
1815.98,592.71
1816.42,2411.11
1816.85,594.26
1816.98,2393.99
1820.52,593.9
1820.58,2395.59
1822.27,1191.91
1822.75,2396.67
1823.48,2386.56
1825.63,2398.24
1827.59,2688.01
1831.2,914.85
1832.67,921.67
1835.81,3144.6
1836.06,2337.81
1836.82,932.88
1837.05,2820.82
1837.08,931.71
1837.52,2581.44
1837.61,918.25
1838.05,1472.54
1840.95,940.28
1842.58,2582.62
1843.36,947.3
1845.76,2921.95
1846.81,2583.76
1848.3,2583.59
1849.96,1845.45
1851.95,1284.92
1852.81,1845.36
1853.45,2407.56
1855.22,1276.16
1855.34,1912.63
1855.98,1846.36
1856.59,2409.78
1858.14,1306.43
1858.76,1014.14
1859.99,1847.51
1860.59,2412.69
1861.46,1674.52
1861.93,1847.33
1866.35,1606.96
1867.89,3055.1
1868.55,2219.52
1868.74,1664.0
1870.44,892.39
1872.47,2196.74
1873.41,2131.67
1873.96,1002.99
1875.21,2492.29
1876.49,2509.6
1876.81,1010.71
1878.01,2582.62
1878.23,1015.82
1878.25,2582.37
1879.17,1017.81
1879.84,1546.11
1880.05,743.64
1880.25,1385.57
1880.56,2583.76
1880.84,1020.96
1881.17,2222.02
1882.35,502.3
1882.87,748.83
1884.09,752.04
1884.97,1249.98
1885.93,754.26
1889.63,1653.96
1891.2,2683.41
1892.1,516.77
1893.73,2684.98
1894.21,4121.91
1895.32,3176.32
1897.57,3048.66
1899.53,1056.12
1900.28,1057.11
1900.68,1060.36
1901.94,1276.08
1901.97,1064.65
1902.77,1295.55
1903.68,2007.17
1904.71,2797.02
1905.48,2796.09
1906.1,2795.77
1907.03,2444.99
1907.28,1846.57
1908.48,2796.46
1910.44,1665.3
1911.22,2150.64
1912.05,1843.93
1912.39,1757.06
1912.64,1925.32
1913.03,789.13
1913.9,2796.46
1915.36,2196.4
1916.68,1839.46
1917.48,2150.58
1917.98,1907.62
1921.85,1301.09
1922.38,1928.79
1922.87,3184.39
1929.32,2491.0
1929.33,1989.76
1929.56,1646.68
1929.92,850.84
1932.97,847.19
1933.18,855.68
1936.13,3124.4
1936.27,1130.07
1936.32,1553.14
1936.98,1415.93
1937.7,1135.01
1938.14,1138.23
1938.27,1941.12
1938.85,1139.33
1940.01,1284.92
1940.88,3100.2
1941.41,2474.9
1941.87,2482.07
1943.94,2476.45
1944.39,2479.09
1945.49,2355.92
1946.23,3092.54
1947.42,3105.37
1947.84,1965.7
1947.98,2358.95
1949.41,2475.74
1951.52,3100.64
1952.62,2477.15
1952.8,2469.68
1953.5,887.13
1954.92,3088.73
1955.0,2465.63
1955.34,461.83
1956.95,1972.7
1957.41,3090.26
1957.59,1899.54
1960.34,3083.29
1961.42,2658.12
1962.34,826.19
1963.6,825.38
1965.45,1977.88
1967.02,2949.67
1978.03,1225.21
1978.3,3072.36
1981.52,926.12
1982.94,3104.53
1985.18,2723.1
1985.88,849.84
1986.19,1292.46
1986.74,2993.13
1989.08,1979.43
1993.03,1287.51
1995.63,1263.68
1996.22,3017.51
1996.81,2500.06
1999.6,3137.77
1999.95,2354.53
2000.78,1277.05
2001.05,1892.45
2001.48,1281.41
2001.91,3770.24
2003.29,1283.91
2005.46,1289.34
2007.3,1294.42
2009.95,2758.71
